run_id,run_time,type
1,0.8187953039996501,original
2,0.8093072390001907,original
3,0.807497121999404,original
4,0.8718995600011112,original
5,0.8517170840004837,original
6,0.8173378210012743,original
7,0.8213463799984311,original
8,0.8799267279991909,original
9,0.9303192040006252,original
10,0.8081807519993163,original
11,0.8104223400005139,original
12,0.8355389620010101,original
13,0.7974794809997547,original
14,0.8203284699993674,original
15,0.8097995300013281,original
16,0.8100165289997676,original
17,0.7973928680003155,original
18,0.8065617909996945,original
19,0.7976412210009585,original
20,0.8106852439996146,original
21,0.8130326419995981,original
22,0.8156397420007124,original
23,0.8054901009982132,original
24,0.829741149000256,original
25,0.8105007020003541,original
26,0.8199379099987709,original
27,0.8169232060008653,original
28,0.8726415429991903,original
29,0.8223039879994758,original
30,0.8147255490002863,original
31,0.8027994299991406,original
32,0.8092000350006856,original
33,0.8424202549995243,original
34,0.8625249489996349,original
35,0.8025620230000641,original
36,0.8150322049987153,original
37,0.8119651710003382,original
38,0.8136211620003451,original
39,0.854889390999233,original
40,0.8266783830003988,original
41,0.8345502480005962,original
42,0.8128519159999996,original
43,0.8134221339987562,original
44,0.810918617000425,original
45,0.8142183259988087,original
46,0.8192557610000222,original
47,0.823100178000459,original
48,0.8049353730002622,original
49,0.8065635809998639,original
50,0.8064105809989996,original
51,0.8131382020001183,original
52,0.8218583289999515,original
53,0.8495846589994471,original
54,0.8592225929987762,original
55,0.8598199099997146,original
56,0.9726818639992416,original
57,0.9307186839996575,original
58,0.9449295810009062,original
59,0.9473504220004543,original
60,0.8906127370009926,original
61,0.8630266589989333,original
62,0.8895100930003537,original
63,1.0528439429999707,original
64,1.1351801529999648,original
65,1.0147328080001898,original
66,0.8585277359998145,original
67,0.8775907469989761,original
68,0.9951486779991683,original
69,0.8750030060000427,original
70,0.8836493710005016,original
71,0.9175315730008151,original
72,0.8943815759994322,original
73,0.9865607720003027,original
74,1.0041598299994803,original
75,0.9836450849998073,original
76,0.9233009640011005,original
77,0.9948259510001662,original
78,1.1451526429991645,original
79,1.0525548499990691,original
80,1.1490065369998774,original
81,1.207784972999434,original
82,0.9889930090012058,original
83,0.8806803279985616,original
84,0.8806541550002294,original
85,0.8958455230003892,original
86,1.1336721699990449,original
87,0.9546226909988036,original
88,0.9839293100012583,original
89,0.93013276199963,original
90,1.1600974190005218,original
91,1.2314362599991,original
92,1.2657732129991928,original
93,1.13536532299986,original
94,0.9724665800004004,original
95,1.225305132998983,original
96,0.9401057119994221,original
97,0.9165685839998332,original
98,0.9717729130006774,original
99,0.8885778040003061,original
100,0.9280024939998839,original
